GEOID,hh_income,house_value
36047028400,63009,903200
36047028501,50278,
36047028502,40456,
36047028600,42024,1012000
36047028700,57321,1121800
36047028800,63625,623700
36047028900,38750,1034700
36047029000,44070,485300
36047029100,87917,786100
36047029200,41827,738200
36047029300,47375,1477300
36047029400,66146,
36047029500,80197,1552300
36047029600,53825,613400
36047029700,85577,1247100
36047029800,59242,986200
36047029900,54719,878400
36047030000,64881,804600
36047030100,95530,844400
36047030200,76625,951500
36047030300,38308,859400
36047030400,48929,851100
36047030500,112854,595100
36047030600,48507,872800
36047030700,39375,885800
36047030800,53393,597500
36047030900,59484,627900
36047031100,65139,605100
36047031300,90828,740900
36047031401,76908,410100
36047031402,,
36047031500,78851,1074200
36047031701,88325,1661900
36047031702,95486,1214300
36047031900,75021,1678100
36047032100,60446,1091400
36047032300,77450,1037200
36047032500,58641,839300
36047032600,33467,1051600
36047032700,58750,1342500
36047032800,29289,546900
36047032900,59636,1505700
36047033000,19215,488300
36047033100,48393,1043100
36047033300,67663,1097700
36047033500,76771,1656600
36047033600,82500,755900
36047033701,54981,1078100
36047033702,68167,803900
36047033900,51950,1257100
36047034000,16978,
36047034100,66357,
36047034200,20469,2000001
36047034300,31420,1157900
36047034500,50982,786100
36047034700,34122,759100
36047034800,49256,1184200
36047034901,42229,
36047034902,43125,1073200
36047035000,44871,202100
36047035101,39489,
36047035102,72955,796900
36047035200,12073,
36047035301,39107,
36047035302,80565,1307500
36047035400,52143,401500
36047035500,52695,703600
36047035601,31910,252800
36047035602,55995,368500
36047035701,38793,
36047035702,,
36047035900,67432,1010500
36047036001,27700,535400
36047036002,30136,289100
36047036100,20636,1027800
36047036200,53464,639100
36047036300,36037,581900
36047036400,53528,729000
36047036501,45096,
36047036502,44926,673900
36047036600,43806,412900
36047036700,60368,
36047036900,36605,760900
36047037000,81000,589600
36047037100,78750,790600
36047037300,62542,1007400
36047037401,52625,743000
36047037402,44472,814500
36047037500,68594,757200
36047037700,70865,1233100
36047037900,56645,698500
36047038100,52131,1214700
36047038200,17806,880700
36047038300,77917,1108900
36047038500,83079,1543300
36047038600,84125,696400
36047038700,51125,747400
36047038800,76311,931900
36047038900,83681,569300
36047039000,69408,828800
36047039100,93964,
36047039200,58327,1017700
36047039300,84148,750000
36047039400,39091,1026000
36047039500,52264,
36047039600,59063,1153600
36047039700,57339,984400
36047039800,76600,843000
36047039900,55517,914100
36047040000,51991,856300
36047040100,49565,1057900
36047040200,64118,906700
36047040300,75298,964600
36047040400,80000,1040200
36047040500,67188,620400
36047040600,66196,935800
36047040700,,
36047040800,84753,947800
36047040900,56020,907800
36047041000,63224,850100
36047041100,54128,657000
36047041200,106000,945600
36047041300,64267,597900
36047041401,66250,855800
36047041402,51735,2000001
36047041500,84072,534700
36047041600,56695,1006900
36047041700,24948,811300
36047041800,55000,1597800
36047041900,58636,
36047042000,70588,935200
36047042100,86964,640400
36047042200,60918,
36047042300,83949,1015600
36047042400,62321,872200
36047042500,88650,
36047042600,67375,963900
36047042700,82917,988600
36047042800,72344,774100
36047042900,64063,721000
36047043000,46038,901900
36047043100,77633,1049300
36047043200,78173,727300
36047043300,33641,
36047043400,54375,717400
36047043500,71049,865400
36047043600,58193,927100
36047043700,60667,1078700
36047043800,65357,579500
36047043900,80286,1026200
36047044000,67250,1119600
36047044100,53594,836100
36047044200,72837,1336700
36047044300,84180,1252000
36047044400,54265,714700
36047044500,77451,751200
36047044600,68051,857100
36047044700,73438,894400
36047044800,67750,437500
36047044901,52716,
36047044902,,
36047045000,75446,838400
36047045200,73393,775900
36047045300,57143,
36047045400,96875,1063900
36047045600,68056,1541700
36047045800,84018,416700
36047046000,82500,639700
36047046201,38050,419100
36047046202,82450,939900
36047046400,54740,1161200
36047046800,35930,1169400
36047047000,73750,1045100
36047047200,78125,731600
36047047400,56500,1203700
36047047600,46250,945500
36047047700,164647,979500
36047047800,63000,1046500
36047048000,26159,961200
36047048100,81613,1201900
36047048200,53804,593300
36047048400,56809,678100
36047048500,93929,742300
36047048600,55236,863000
36047048800,61013,558400
36047048900,25154,
36047049000,58965,694400
36047049100,36653,1000000
36047049200,72058,737000
36047049301,20465,
36047049302,47238,
36047049400,88846,557600
36047049500,89375,891100
36047049600,68474,1250000
36047049700,107625,1075800
36047049800,67580,992600
36047049900,88958,1300700
36047050001,107333,705200
36047050002,148320,1073200
36047050100,98750,1132600
36047050202,97195,836500
36047050300,127993,980200
36047050401,128443,705500
36047050402,134602,627400
36047050500,63468,
36047050600,73077,906300
36047050700,50667,971200
36047050801,70134,
36047050803,67000,916700
36047050804,87124,842400
36047050900,37003,782500
36047051001,54246,
36047051002,55974,1836500
36047051100,79675,673400
36047051200,65847,666700
36047051300,121607,952100
36047051400,72477,693800
36047051500,167917,1273600
36047051601,56834,1025900
36047051602,67276,828100
36047051700,171375,1401500
36047051800,84748,588100
36047051900,188567,1303700
36047052000,108994,1309700
36047052300,91750,523000
36047052500,28050,
36047052600,73895,1146300
36047052700,61966,1606700
36047052800,107188,1134300
36047052900,27456,601900
36047053000,60365,890400
36047053101,,
36047053102,61458,942600
36047053200,65603,624000
36047053300,24834,1039600
36047053400,50444,841000
36047053500,26760,691700
36047053700,46719,826600
36047053800,63750,863000
