,GISJOIN,COUNTY,Population,Population_density,Hispanic,White,Black,Native,Asian,Pacific
8646,G36006100160013,New York County,761,0.020552014691584748,63,632,5,0,23,1
8647,G36006100160014,New York County,996,0.03875637184326238,65,822,11,0,66,0
8648,G36006100160021,New York County,1719,0.06453914022902196,202,1226,20,0,210,1
8649,G36006100160022,New York County,1888,0.0761566697591868,274,1062,132,0,356,0
8650,G36006100161001,New York County,1208,0.027307457558152677,138,882,38,0,90,0
8651,G36006100161002,New York County,1025,0.04430325034578147,77,817,10,0,69,0
8652,G36006100161003,New York County,973,0.044041098990630516,62,785,12,0,71,0
8653,G36006100161004,New York County,1021,0.04625770206596593,56,835,17,0,61,2
8654,G36006100161005,New York County,1232,0.05574408397810054,111,910,20,0,126,0
8655,G36006100161006,New York County,1158,0.05240293239207168,95,887,28,0,88,0
8656,G36006100162000,New York County,0,,0,0,0,0,0,0
8657,G36006100162001,New York County,1672,0.04970716770223266,549,93,788,0,170,0
8658,G36006100162002,New York County,1623,0.05117613672195245,513,85,782,1,187,0
8659,G36006100162003,New York County,1387,0.03523703063868706,721,37,404,1,188,0
8660,G36006100162004,New York County,2640,0.04578087607949225,1420,48,932,0,203,0
8661,G36006100162005,New York County,1711,0.015605760723830023,659,322,458,4,172,0
8662,G36006100163000,New York County,0,,0,0,0,0,0,0
8663,G36006100163001,New York County,1534,0.010336021777068046,96,1195,13,1,109,1
8664,G36006100163002,New York County,1457,0.05432918189275859,104,1193,28,0,93,0
8665,G36006100163003,New York County,1007,0.04847405410609416,157,577,178,3,42,2
8666,G36006100163004,New York County,1317,0.0483285017063594,157,929,56,5,93,0
8667,G36006100163005,New York County,1977,0.04898292906518669,137,1388,51,0,275,1
8668,G36006100164001,New York County,1822,0.049844066312852216,835,317,411,1,181,0
8669,G36006100164002,New York County,2353,0.0428160710386491,1093,425,541,11,206,0
8670,G36006100164003,New York County,1917,0.03727541417126857,1062,71,552,3,187,1
8671,G36006100164004,New York County,1279,0.03712411471032161,691,18,384,1,162,0
8672,G36006100165001,New York County,1332,0.01183579171850009,58,1132,16,0,68,1
8673,G36006100165002,New York County,1773,0.07466520677166681,104,1401,28,2,141,2
8674,G36006100165003,New York County,1520,0.06380388699995802,117,1196,14,2,112,0
8675,G36006100165004,New York County,932,0.041359723085115825,119,671,22,0,69,0
8676,G36006100165005,New York County,1102,0.05082088175613356,153,751,60,0,89,0
8677,G36006100166001,New York County,690,0.02798734485276223,379,138,71,0,68,0
8678,G36006100166002,New York County,1076,0.0436192638235771,561,231,172,2,45,1
8679,G36006100166003,New York County,1581,0.06399514268366728,513,492,330,3,181,0
8680,G36006100166004,New York County,1401,0.05583675421465864,824,334,120,0,76,0
8681,G36006100166005,New York County,888,0.03566265060240964,490,145,160,0,50,1
8682,G36006100166006,New York County,1376,0.02741035856573705,710,113,352,2,145,1
8683,G36006100167000,New York County,34,inf,9,3,0,0,1,1
8684,G36006100167001,New York County,1031,0.012804113212702277,51,884,15,0,35,0
8685,G36006100167002,New York County,1336,0.053934035767631505,101,1042,19,0,108,0
8686,G36006100167003,New York County,1817,0.047199709060681626,115,1491,20,0,102,0
8687,G36006100167004,New York County,1466,0.05749019607843137,125,1049,39,0,185,0
8688,G36006100167005,New York County,1526,0.05510815788523347,161,1077,113,0,109,0
8689,G36006100168001,New York County,1607,0.03183186752238333,965,25,501,7,90,0
8690,G36006100168002,New York County,2260,0.022953483648182,907,604,545,5,136,0
8691,G36006100168003,New York County,1097,0.02179441331902889,404,297,292,1,65,0
8692,G36006100169001,New York County,1373,0.05784462419952814,80,1102,25,0,87,0
8693,G36006100169002,New York County,1194,0.05404916029152143,118,908,34,0,78,0
8694,G36006100169003,New York County,1879,0.040959128065395096,176,1454,51,0,120,0
8695,G36006100169004,New York County,1607,0.03633527030999163,438,860,103,1,125,0
8696,G36006100169005,New York County,1075,0.048872522276777595,88,874,12,0,58,0
8697,G36006100169006,New York County,1398,0.06332095298487182,127,1046,29,3,130,0
8698,G36006100170001,New York County,1592,0.03028170353603561,748,36,291,0,472,0
8699,G36006100170002,New York County,1135,0.03143086594112597,674,137,138,0,143,1
8700,G36006100170003,New York County,1816,0.04770410843753284,932,392,299,2,110,2
8701,G36006100170004,New York County,2159,0.05784636819119578,1092,45,456,7,499,0
8702,G36006100170005,New York County,1289,0.06841099670947882,805,260,88,3,59,0
