School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of,data_year
COAL. SCHOOL FOR SOCIAL CHANGE,M,4,FLOOD ELIMINATION/EXTERIOR MASONRY,995000,CIP,M045,2351 1ST AVENUE,Manhattan,10035,MANHATTAN,40.798884,-73.933319,11,8,194,1054786,1017970100,East Harlem North                                                          ,"(40.798884, -73.933319)",11/13/17,2017
P.S. 238 - BROOKLYN,K,21,EXTERIOR MASONRY/PARAPETS,6960000,CIP,K238,1633 EAST 8 STREET,Brooklyn,11223,BROOKLYN ,40.608862,-73.965058,15,44,420,3176229,3066400013,Homecrest                                                                  ,"(40.608862, -73.965058)",11/13/17,2017
JAMES MADISON HS - BROOKLYN,K,22,SWIMMING POOL,5779000,CIP,K425,3787 BEDFORD AVENUE,Brooklyn,11229,BROOKLYN ,40.609912,-73.948512,15,48,642,3182721,3067880001,Madison                                                                    ,"(40.609912, -73.948512)",11/13/17,2017
HERBERT H. LEHMAN HS - X,X,8,SANDY ELEC/HEAT/FLOOD/CLIM/SINK HOLES/PLUMBING,29723000,CIP,X405,3000 EAST TREMONT AVENUE,Bronx,10461,BRONX    ,40.840702,-73.838545,10,13,194,2074045,2053680001,Schuylerville-Throgs Neck-Edgewater Park                                   ,"(40.840702, -73.838545)",11/13/17,2017
P.S. 35 - STATEN ISLAND,R,31,HEATING PLANT/CLIMATE CONTROL,3738000,CIP,R035,60 FOOTE AVENUE,Staten Island,10301,STATEN IS,40.613721,-74.099626,1,49,47,5015603,5006100127,Grymes Hill-Clifton-Fox Hills                                              ,"(40.613721, -74.099626)",11/13/17,2017
P.S. 183 - MANHATTAN,M,2,EXTERIOR MASONRY/FLOOD ELIMINATION/ PARAPETS/ROOFS,11870000,CIP,M183,419 EAST 66 STREET,Manhattan,10065,MANHATTAN,40.763736,-73.95815,8,5,116,1045569,1014610007,Lenox Hill-Roosevelt Island                                                ,"(40.763736, -73.95815)",11/13/17,2017
P.S. 32 - BRONX,X,10,EXTERIOR MASONRY/WINDOWS/PARAPETS,6239400,CIP,X032,690 EAST 183 STREET,Bronx,10458,BRONX    ,40.852103,-73.885935,6,15,391,2012409,2030850001,Belmont                                                                    ,"(40.852103, -73.885935)",11/13/17,2017
URBN ASSY SCHL CRIM JUSTICE -,K,20,SCIENCE LAB UPGRADE,1218000,CIP,K223,4200 16 AVENUE,Brooklyn,11204,BROOKLYN ,40.634875,-73.981528,12,44,230,3125676,3053620021,Borough Park                                                               ,"(40.634875, -73.981528)",11/13/17,2017
I.S. 232 - BRONX,X,9,OIL VAULT & STAIRWAY/PIPING/TOILETS/FLOOD,8819000,CIP,X082,1700 MACOMBS ROAD,Bronx,10453,BRONX    ,40.849623,-73.91607,5,14,21502,2008460,2028660070,University Heights-Morris Heights                                          ,"(40.849623, -73.91607)",,1900
P.S. 43 - QUEENS,Q,27,SANDY INTERIOR SPACES/SANDY FLOOD ELIMINATION,3290000,CIP,Q907,12 MARVIN STREET,Queens,11691,QUEENS   ,40.59359,-73.760448,14,31,99802,4531136,4158190148,Far Rockaway-Bayswater                                                     ,"(40.59359, -73.760448)",,1900
P.S. 105 - QUEENS,Q,27,SANDY:HEATING/ELEC/FLOOD/AUD/PIPING/HVAC/INT/PAVED,21198000,CIP,Q105,420 BEACH 51 STREET,Queens,11691,QUEENS   ,40.595779,-73.781876,14,31,97203,4302397,4159740003,Hammels-Arverne-Edgemere                                                   ,"(40.595779, -73.781876)",,1900
P.S. 6 - MANHATTAN,M,2,FY14 RESO A PLAYGROUND REDEVELOPMENT,748786,CIP,M006,45 EAST 81 STREET,Manhattan,10028,MANHATTAN,40.777455,-73.960713,8,4,142,1046668,1014930021,Upper East Side-Carnegie Hill                                              ,"(40.777455, -73.960713)",11/13/17,2017
I.S. 322 - BRONX,X,11,CEILING TILE REPLACEMENT,2787000,CIP,X135,2441 WALLACE AVENUE,Bronx,10467,BRONX    ,40.862109,-73.864577,11,13,330,2051313,2044320001,Bronxdale                                                                  ,"(40.862109, -73.864577)",11/13/17,2017
Q009 SPED - QUEENS,Q,24,EXT MSNRY/PARAPET/FLOOD/ ACCESSIBILITY/FIRE ALARM,10840000,CIP,Q009,58-74 57 STREET,Queens,11378,QUEENS   ,40.718935,-73.912208,5,30,535,4059130,4026310106,Maspeth                                                                    ,"(40.718935, -73.912208)",11/13/17,2017
R025 SPED - STATEN ISLAND,R,31,FY16 RESO A ROOM CONVERSIONS / PART,243830,CIP,R825,6581 HYLAN BLVD,Staten Island,10309,STATEN IS,40.508809,-74.222403,3,51,198,5123970,5076640001,Annadale-Huguenot-Prince's Bay-Eltingville                                 ,"(40.508809, -74.222403)",11/13/17,2017
P.S. 47 - BRONX,X,12,ROOFS/PARAPETS/MASONRY/FLOOD,9142000,CIP,X047,1794 EAST 172 STREET,Bronx,10472,BRONX    ,40.832902,-73.866848,9,18,76,2025622,2037860016,West Farms-Bronx River                                                     ,"(40.832902, -73.866848)",,1900
BEACH CHANNEL HS - QUEENS,Q,27,SANDY REPAIRS-ATHLETIC FIELD,3087911.79,CIP,Q411,100-00 BEACH CHANNEL DRIVE,Queens,11694,QUEENS   ,40.586066,-73.822624,14,32,94201,4303773,4161670099,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,"(40.586066, -73.822624)",11/13/17,2017
P.S. 75 - MANHATTAN,M,3,PLAYNYC BOILER CONVERSION/CLIMATE CONTROL,6666000,CIP,M075,735 WEST END AVENUE,Manhattan,10025,MANHATTAN,40.795157,-73.973292,7,6,183,1034190,1012530065,Upper West Side                                                            ,"(40.795157, -73.973292)",,1900
P.S. 155 - QUEENS,Q,27,TCU REMOVAL - PLAYGROUND REDEVELOPMENT,1411569,CIP,Q155,130-02 115 AVENUE,Queens,11420,QUEENS   ,40.67956,-73.8106,10,28,176,4252357,4116730001,South Ozone Park                                                           ,"(40.67956, -73.8106)",11/13/17,2017
